employee_name,employee_id,yrs_of_experience,yrs_at_company,compensation,career_track
Lillian,80,35,3,120011,technical
Kinsley,81,20,10,100764,non-technical
Hailey,82,17,8,90742,executive
Eleanor,83,26,2,122024,technical
Aaliyah,84,8,4,55719,non-technical
Alice,85,28,5,192406,executive
Leah,86,16,6,84119,technical
Everly,87,0,4,55243,non-technical
Sarah,88,21,9,219115,executive
Kennedy,89,6,10,84923,technical
Adeline,90,18,5,107824,technical
Claire,91,23,10,186159,non-technical
Sophie,92,31,6,186977,executive
Willow,93,1,2,35275,technical
Arya,94,12,5,116738,non-technical
Gabriella,95,31,7,170647,executive
Eliana,96,12,4,110320,technical
Maria,97,16,7,102251,non-technical
Isla,98,17,8,75969,executive
Anna,99,27,8,170315,technical
Naomi,100,30,7,169081,non-technical
Peyton,101,21,5,109508,technical
Quinn,102,12,6,123935,non-technical
Cora,103,21,10,150574,executive
Gianna,104,9,8,78757,technical
Athena,105,9,6,61556,non-technical
Madelyn,106,35,10,176650,executive
Ruby,107,24,4,117583,technical
Nevaeh,108,10,8,79156,non-technical
Ariana,109,18,10,97833,executive
Caroline,110,23,10,236999,technical
Julia,111,17,7,96406,non-technical
Ivy,112,5,8,50340,executive
Delilah,113,20,2,230436,technical
Brielle,114,22,4,139266,technical
Autumn,115,20,3,203938,non-technical
Adalynn,116,15,3,88632,executive
Mackenzie,117,23,5,197558,technical
Clara,118,8,9,62442,non-technical
Aubree,119,17,7,78629,executive
Rylee,120,5,5,57990,technical
Serenity,121,33,10,131463,non-technical
Valentina,122,12,4,90657,executive
Isabelle,123,33,3,166682,technical
Emery,124,28,10,133521,non-technical
Sadie,125,17,5,114737,executive
Wyatt,126,7,2,55680,technical
Jayden,127,30,10,123079,technical
Julian,128,9,6,75131,non-technical
Gabriel,129,5,10,76821,executive
Jaxon,130,30,3,218867,technical
David,131,5,6,70033,non-technical
Levi,132,10,3,108147,executive
Matthew,133,4,7,35513,technical
Mateo,134,26,6,189201,non-technical
Muhammad,135,19,6,75358,executive
Lincoln,136,1,9,51638,technical
Ryan,137,29,9,178867,non-technical
Asher,138,0,5,43888,executive
Samuel,139,34,4,163971,executive
John,140,32,6,156891,technical
Adam,141,11,5,115212,non-technical
Nathan,142,18,6,79902,executive
Josiah,143,15,2,86545,technical
Isaac,144,20,3,140960,non-technical
Joseph,145,23,6,168215,executive
Caleb,146,24,6,119124,executive
Isaiah,147,15,8,120822,technical
Anthony,148,25,2,161027,non-technical
Eli,149,4,3,43914,executive
Hunter,150,31,3,220166,technical
Dylan,151,31,7,238477,non-technical
Hudson,152,22,9,130686,executive
Landon,153,18,3,81350,executive
Ezra,154,13,7,106099,technical
Joshua,155,33,2,139771,non-technical
Connor,156,19,2,95584,executive
Christian,157,14,6,86735,technical
Adrian,158,34,7,117183,non-technical
Carson,159,22,7,115795,executive
Greyson,160,16,2,101154,executive
Andrew,161,6,4,58150,technical
Thomas,162,4,8,44238,non-technical
Jeremiah,163,26,9,174597,executive
Easton,164,20,9,110530,technical
Jaxson,165,31,3,194007,non-technical
Christopher,166,27,10,125625,executive
Max,167,26,10,151631,executive
Jordan,168,19,4,92595,technical
Nolan,169,10,3,91516,non-technical
Colton,170,0,8,40884,executive
Cameron,171,0,2,42433,technical
Elias,172,35,8,172616,non-technical
Maverick,173,4,3,35190,executive
Kai,174,26,3,146127,executive
Xavier,175,25,7,225301,technical
Aaron,176,12,4,76339,non-technical
Dominic,177,5,3,87730,executive
Charlie,178,17,10,107869,technical
Cooper,179,26,7,118532,non-technical
Jace,180,29,2,238672,executive
Brayden,181,16,9,80822,executive
Kayden,182,10,2,121483,technical
Bryson,183,27,7,168660,non-technical
Roman,184,10,9,78384,executive
Theodore,185,4,3,59172,technical
Austin,186,13,6,89216,non-technical
Ayden,187,25,7,121699,executive
Luca,188,3,2,46200,executive
Jameson,189,3,3,46329,technical
Evan,190,22,2,153498,non-technical
Nicholas,191,25,9,184466,executive
Ezekiel,192,18,10,106884,technical
Ian,193,35,3,208463,non-technical
Sawyer,194,33,8,211750,executive
Parker,195,20,3,232656,executive
Micah,196,5,8,57129,technical
Alex,197,33,6,211771,non-technical
Santiago,198,11,3,100448,executive
Everett,199,35,9,176582,technical
King,200,33,10,161107,non-technical
